city,city_href,country,country_href
"Patos de Minas, MG",/bus/patos-de-minas-mg,Brazil,/bus/brazil
"Patrocínio, MG",/bus/patrocinio-mg,Brazil,/bus/brazil
"Pau dos Ferros, RN",/bus/pau-dos-ferros-rn,Brazil,/bus/brazil
"Pedro Leopoldo, MG",/bus/pedro-leopoldo-mg,Brazil,/bus/brazil
"Peixoto de Azevedo, MT",/bus/peixoto-de-azevedo-mt,Brazil,/bus/brazil
"Penápolis, SP",/bus/penapolis-sp,Brazil,/bus/brazil
"Peritoró, MA",/bus/peritoro-ma,Brazil,/bus/brazil
"Petrolina, PE",/bus/petrolina-pe,Brazil,/bus/brazil
"Petrópolis, RJ",/bus/petropolis-rj,Brazil,/bus/brazil
"Pirapora, MG",/bus/pirapora-mg,Brazil,/bus/brazil
"Piripiri, PI",/bus/piripiri-pi,Brazil,/bus/brazil
"Poções, BA",/bus/pocoes-ba,Brazil,/bus/brazil
"Pompeia, SP",/bus/pompeia-sp,Brazil,/bus/brazil
"Ponta Grossa, PR",/bus/ponta-grossa-pr,Brazil,/bus/brazil
"Porangatu, GO",/bus/porangatu-go,Brazil,/bus/brazil
"Porto Franco, MA",/bus/porto-franco-ma,Brazil,/bus/brazil
"Porto Nacional, TO",/bus/porto-nacional-to,Brazil,/bus/brazil
"Pouso Alegre, MG",/bus/pouso-alegre-mg,Brazil,/bus/brazil
"Presidente Dutra, MA",/bus/presidente-dutra-ma,Brazil,/bus/brazil
"Primavera do Leste, MT",/bus/primavera-do-leste-mt,Brazil,/bus/brazil
"Recife, PE",/bus/recife-pe,Brazil,/bus/brazil
"Regeneração, PI",/bus/regeneracao-pi,Brazil,/bus/brazil
"Resende, RJ",/bus/resende-rj,Brazil,/bus/brazil
"Riachão das Neves, BA",/bus/riachao-das-neves-ba,Brazil,/bus/brazil
"Ribas do Rio Pardo, MS",/bus/ribas-do-rio-pardo-ms,Brazil,/bus/brazil
"Ribeirão das Neves, MG",/bus/ribeirao-das-neves-mg,Brazil,/bus/brazil
"Ribeirão Preto, SP",/bus/ribeirao-preto-sp,Brazil,/bus/brazil
"Rio Claro, SP",/bus/rio-claro-sp,Brazil,/bus/brazil
"Rio de Janeiro, RJ",/bus/rio-de-janeiro-rj,Brazil,/bus/brazil
"Rio Verde de Mato Grosso, MS",/bus/rio-verde-de-mato-grosso-ms,Brazil,/bus/brazil
"Rolândia, PR",/bus/rolandia-pr,Brazil,/bus/brazil
"Rondonópolis, MT",/bus/rondonopolis-mt,Brazil,/bus/brazil
"Rosário Oeste, MT",/bus/rosario-oeste-mt,Brazil,/bus/brazil
"Sabará, MG",/bus/sabara-mg,Brazil,/bus/brazil
"Salgueiro, PE",/bus/salgueiro-pe,Brazil,/bus/brazil
"Salinas, MG",/bus/salinas-mg,Brazil,/bus/brazil
"Salvador, BA",/bus/salvador-ba,Brazil,/bus/brazil
"Santa Inês, MA",/bus/santa-ines-ma,Brazil,/bus/brazil
"Santa Luzia, MA",/bus/santa-luzia-ma,Brazil,/bus/brazil
"Santa Luzia, MG",/bus/santa-luzia-mg,Brazil,/bus/brazil
"Santa Maria da Vitória, BA",/bus/santa-maria-da-vitoria-ba,Brazil,/bus/brazil
